일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/08/10","146500","-1500","-1.01","148000","148500","144500","2074409","302895576000","65113423695000","444460230"
"2021/08/09","148000","2500","1.72","145500","149000","144000","3017396","444684467500","65780114040000","444460230"
"2021/08/06","145500","-3500","-2.35","149500","149500","145000","4155669","607215890500","64668963465000","444460230"
"2021/08/05","149000","-500","-0.33","150000","151500","148500","2254087","337127903500","66224574270000","444460230"
"2021/08/04","149500","5500","3.82","144500","150000","144000","3136752","462256631000","66446804385000","444460230"
"2021/08/03","144000","-2000","-1.37","146000","146500","143000","2697098","388018708500","64002273120000","444460230"
"2021/08/02","146000","-1000","-0.68","147000","148500","145000","2172117","318223688500","64891193580000","444460230"
"2021/07/30","147000","-1500","-1.01","149000","149500","147000","2057332","304456275500","65335653810000","444460230"
"2021/07/29","148500","500","0.34","148500","149000","147500","1766172","261765602000","66002344155000","444460230"
"2021/07/28","148000","0","0.00","147000","149500","146500","2716816","403247310000","65780114040000","444460230"
"2021/07/27","148000","500","0.34","147500","149000","145500","3357695","495511122500","65780114040000","444460230"
"2021/07/26","147500","-2000","-1.34","151500","153000","146500","4071898","604756423000","65557883925000","444460230"
"2021/07/23","149500","2000","1.36","148500","153500","147500","5249906","789592103000","66446804385000","444460230"
"2021/07/22","147500","2500","1.72","144500","148000","142500","5759268","841825426900","65557883925000","444460230"
"2021/07/21","145000","-7000","-4.61","153000","155500","144500","10409836","1533954765000","64446733350000","444460230"
"2021/07/20","152000","-2000","-1.30","151500","153000","149000","6652856","1003228599500","67557954960000","444460230"
"2021/07/19","154000","-3000","-1.91","155500","155500","154000","3475792","536709167000","68446875420000","444460230"
"2021/07/16","157000","-2500","-1.57","158500","159500","157000","3423188","539339404000","69780256110000","444460230"
"2021/07/15","159500","-2500","-1.54","162000","162000","158500","3821843","609995225500","70891406685000","444460230"
"2021/07/14","162000","1000","0.62","161500","164500","161000","3352019","539764552500","72002557260000","444460230"
"2021/07/13","161000","-1000","-0.62","162500","163500","160500","3859736","621959210000","71558097030000","444460230"
"2021/07/12","162000","1500","0.93","161000","162500","158000","3248064","520764683500","72002557260000","444460230"
"2021/07/09","160500","-2500","-1.53","161500","162000","158500","3795528","607243060500","71335866915000","444460230"
"2021/07/08","163000","2000","1.24","161500","164500","161000","4121257","669968277500","72360522355000","443929585"
"2021/07/07","161000","3500","2.22","158500","163500","158500","4413394","712188707500","71472663185000","443929585"
"2021/07/06","157500","500","0.32","157500","159000","157000","2045164","322459013500","69918909637500","443929585"
"2021/07/05","157000","-2500","-1.57","160500","162000","156500","4506967","713616820000","69696944845000","443929585"
"2021/07/02","159500","-500","-0.31","158500","161500","156000","4407703","700991420320","70806768807500","443929585"
"2021/07/01","160000","-3000","-1.84","164000","165500","159500","4630280","748866494382","71028733600000","443929585"
"2021/06/30","163000","5000","3.16","159000","165000","157500","7305590","1178244500070","72360522355000","443929585"
"2021/06/29","158000","3000","1.94","156000","158000","154500","3938542","616177168500","70140874430000","443929585"
"2021/06/28","155000","500","0.32","154500","157500","154000","5141409","798833118500","68809085675000","443929585"
"2021/06/25","154500","-2500","-1.59","155000","159500","150500","12271446","1894549908500","68587120882500","443929585"
"2021/06/24","157000","-12500","-7.37","172000","173000","155500","18408195","3003628114500","69696944845000","443929585"
"2021/06/23","169500","10500","6.60","162500","170000","161000","9078797","1510337266640","75246064657500","443929585"
